学号,科目,成绩
20240001,语文,76
20240001,数学,80
20240001,英语,63
20240001,物理,62
20240001,化学,52
20240002,语文,58
20240002,数学,82
20240002,英语,64
20240002,物理,80
20240002,化学,90
20240003,语文,77
20240003,数学,82
20240003,英语,64
20240003,物理,73
20240003,化学,92
20240004,语文,61
20240004,数学,86
20240004,英语,95
20240004,物理,80
20240004,化学,54
20240005,语文,78
20240005,数学,74
20240005,英语,80
20240005,物理,83
20240005,化学,65
20240006,语文,64
20240006,数学,73
20240006,英语,63
20240006,物理,76
20240006,化学,73
20240007,语文,100
20240007,数学,62
20240007,英语,65
20240007,物理,80
20240007,化学,85
20240008,语文,100
20240008,数学,94
20240008,英语,84
20240008,物理,78
20240008,化学,85
20240009,语文,67
20240009,数学,71
20240009,英语,57
20240009,物理,72
20240009,化学,86
20240010,语文,72
20240010,数学,65
20240010,英语,70
20240010,物理,83
20240010,化学,71
20240011,语文,85
20240011,数学,59
20240011,英语,64
20240011,物理,68
20240011,化学,59
20240012,语文,100
20240012,数学,61
20240012,英语,85
20240012,物理,67
20240012,化学,68
20240013,语文,78
20240013,数学,57
20240013,英语,67
20240013,物理,73
20240013,化学,64
20240014,语文,65
20240014,数学,88
20240014,英语,87
20240014,物理,69
20240014,化学,73
20240015,语文,89
20240015,数学,57
20240015,英语,79
20240015,物理,98
20240015,化学,98
20240016,语文,51
20240016,数学,65
20240016,英语,77
20240016,物理,59
20240016,化学,66
20240017,语文,73
20240017,数学,91
20240017,英语,74
20240017,物理,77
20240017,化学,81
20240018,语文,81
20240018,数学,75
20240018,英语,60
20240018,物理,84
20240018,化学,80
20240019,语文,61
20240019,数学,66
20240019,英语,85
20240019,物理,82
20240019,化学,66
20240020,语文,71
20240020,数学,73
20240020,英语,82
20240020,物理,89
20240020,化学,75
